429,'17816786','shell_ecomar',3256,600,1545,0,61,'2013-02-19 23:45:05'
430,'577176707','Shell_NatGas',4453,133,361,0,60,'2013-02-19 23:45:05'
431,'38220933','Shell_Careers',12858,41,1033,0,225,'2013-02-19 23:45:05'
432,'38199580','ShellMotorsport',20689,138,969,6,808,'2013-02-19 23:45:05'
433,'61216579','Shell_US',15106,148,794,0,321,'2013-02-19 23:45:06'
434,'413387003','Shell_Alaska',2507,470,1011,8,37,'2013-02-19 23:45:06'
435,'702247658','Shell_Australia',440,152,250,1,3,'2013-02-19 23:45:06'
436,'950080579','Shell_Nederland',152,0,43,0,1,'2013-02-19 23:45:04'
437,'20663500','Shell',115698,128,812,4,1594,'2013-02-19 23:45:04'
438,'17816786','shell_ecomar',3256,600,1545,0,61,'2013-02-19 23:45:04'
439,'577176707','Shell_NatGas',4453,133,361,0,60,'2013-02-19 23:45:04'
440,'38220933','Shell_Careers',12858,41,1033,0,225,'2013-02-19 23:45:04'
441,'38199580','ShellMotorsport',20689,138,969,6,808,'2013-02-19 23:45:05'
442,'61216579','Shell_US',15106,148,794,0,321,'2013-02-19 23:45:05'
443,'413387003','Shell_Alaska',2507,470,1011,8,37,'2013-02-19 23:45:05'
444,'702247658','Shell_Australia',440,152,250,1,3,'2013-02-19 23:45:05'
445,'950080579','Shell_Nederland',152,0,47,0,1,'2013-02-20 23:45:04'
446,'20663500','Shell',115787,128,812,4,1595,'2013-02-20 23:45:04'
447,'17816786','shell_ecomar',3262,600,1549,0,61,'2013-02-20 23:45:05'
448,'577176707','Shell_NatGas',4477,133,362,0,60,'2013-02-20 23:45:05'
449,'38220933','Shell_Careers',12870,41,1034,0,226,'2013-02-20 23:45:05'
450,'38199580','ShellMotorsport',20697,138,979,6,809,'2013-02-20 23:45:05'
451,'61216579','Shell_US',15144,148,794,0,322,'2013-02-20 23:45:05'
452,'413387003','Shell_Alaska',2512,470,1011,8,37,'2013-02-20 23:45:05'
453,'702247658','Shell_Australia',448,152,259,1,4,'2013-02-20 23:45:06'
454,'950080579','Shell_Nederland',152,0,47,0,1,'2013-02-20 23:50:05'
